Type,LocationLat,LocationLng
Fog,42.8154,-108.7261
Cold,44.4736,-93.0145
Cold,44.2507,-90.8553
Cold,44.2507,-90.8553
Cold,44.2507,-90.8553
Cold,44.4201,-72.0193
Cold,44.4201,-72.0193
Cold,42.8586,-100.5514
Fog,44.2559,-121.1406
Fog,44.2559,-121.1406
Fog,44.2559,-121.1406
Cold,42.8935,-73.2486
Cold,36.1753,-96.1518
Cold,42.193999999999996,-72.5348
Cold,43.1111,-76.1038
Cold,41.6234,-98.9488
Cold,40.8478,-96.7647
Cold,34.5666,-117.6704
Cold,39.8308,-88.8719
Fog,33.7963,-118.0418
Fog,33.7963,-118.0418
Fog,33.7963,-118.0418
Fog,33.7963,-118.0418
Fog,33.7963,-118.0418
Fog,33.7963,-118.0418
Fog,37.2848,-120.5139
Fog,37.2848,-120.5139
Fog,37.2848,-120.5139
Fog,37.2848,-120.5139
Fog,37.2848,-120.5139
Fog,37.2848,-120.5139
Cold,47.0492,-91.745
Cold,48.381,-102.898
Fog,32.7339,-117.1845
Cold,46.9252,-103.9821
Fog,45.621,-122.6542
Cold,45.3108,-92.6948
Cold,42.5902,-117.8646
Cold,43.2755,-91.7433
Fog,44.1246,-123.212
Cold,39.2972,-94.7306
Cold,42.6973,-73.1696
Cold,43.2111,-90.1873
Cold,41.1183,-95.9125
Cold,42.1933,-89.0933
Cold,40.0307,-86.2514
Cold,45.0002,-92.8549
Cold,41.3518,-89.1496
Cold,48.7838,-97.6296
Cold,40.0788,-95.59200000000001
Cold,40.8967,-97.6228
Cold,44.9839,-96.1788
Fog,44.095,-121.2
Fog,44.095,-121.2
Fog,44.095,-121.2
Cold,41.2984,-93.1114
Cold,42.224,-83.7397
Cold,44.5926,-92.4844
Fog,40.4518,-105.0113
Cold,45.1601,-93.846
Cold,46.7245,-92.0445
Fog,34.0235,-118.2912
Cold,34.0235,-118.2912
Fog,34.0235,-118.2912
Cold,46.4021,-94.1273
Cold,46.3809,-94.8066
Cold,39.6391,-90.7818
Cold,38.0431,-87.5203
Fog,46.1155,-122.8927
Fog,46.1155,-122.8927
Fog,46.1155,-122.8927
Fog,46.1155,-122.8927
Cold,45.6317,-89.4822
Cold,40.7729,-91.1254
Cold,43.3384,-73.6102
Fog,43.3384,-73.6102
Cold,43.3384,-73.6102
Cold,42.2204,-91.1604
Cold,40.6006,-98.4258
Cold,41.6031,-88.1016
Cold,41.7713,-88.4815
Fog,41.6875,-69.9933
Fog,41.6875,-69.9933
Fog,32.8157,-117.1396
Fog,32.8157,-117.1396
Fog,32.8157,-117.1396
Cold,42.5512,-94.1918
Cold,44.6799,-75.4642
Cold,44.6799,-75.4642
Cold,43.1544,-93.3261
Fog,42.79600000000001,-105.3804
Cold,38.9949,-79.1459
Cold,41.7014,-94.9205
Cold,41.4148,-96.109
Cold,41.4148,-96.109
Fog,47.2765,-121.3382
Fog,47.2765,-121.3382
Fog,47.2765,-121.3382
Fog,47.2765,-121.3382
Cold,39.5351,-89.3294
Fog,42.129,-86.4151
Fog,42.129,-86.4151
Cold,45.9264,-89.7307
Cold,37.086999999999996,-84.07700000000001
Cold,40.4124,-86.9474
Fog,41.7072,-86.3164
Cold,38.3154,-76.5501
Cold,41.7984,-78.6354
Cold,41.7984,-78.6354
Fog,41.7984,-78.6354
Fog,41.7984,-78.6354
Fog,41.7984,-78.6354
Fog,35.6694,-120.6291
Fog,35.6694,-120.6291
Fog,35.6694,-120.6291
Cold,40.711,-86.375
Cold,40.711,-86.375
Cold,40.727,-99.0068
Cold,40.727,-99.0068
Cold,40.727,-99.0068
Fog,33.2194,-117.3494
Fog,33.2194,-117.3494
Fog,33.2194,-117.3494
Fog,43.467,-108.238
Fog,43.467,-108.238
Fog,43.467,-108.238
Fog,43.467,-108.238
Fog,35.2368,-120.64200000000001
Fog,33.1283,-117.2801
Cold,46.4163,-92.8049
Fog,43.0622,-108.447
Fog,43.0622,-108.447
Fog,43.0622,-108.447
Fog,43.0622,-108.447
Cold,41.9338,-88.7066
Cold,44.016000000000005,-97.086
Cold,44.016000000000005,-97.086
Fog,41.9597,-85.5934
Cold,39.6982,-87.6669
Cold,44.4682,-73.1498
Cold,40.4899,-85.6797
Cold,40.4899,-85.6797
Cold,44.0601,-69.0993
Cold,44.0601,-69.0993
Cold,41.6394,-91.5445
Fog,35.4344,-119.0542
Fog,33.6798,-117.8674
Fog,33.6798,-117.8674
Cold,43.0425,-88.2461
Cold,40.5282,-86.059
Fog,40.6163,-83.0635
Cold,36.1802,-94.1175
Fog,24.5571,-81.7554
Fog,24.5571,-81.7554
Fog,24.5571,-81.7554
Fog,24.5571,-81.7554
Fog,24.5571,-81.7554
Fog,24.5571,-81.7554
Fog,24.5571,-81.7554
Fog,24.5571,-81.7554
Fog,24.5571,-81.7554
Cold,46.2187,-97.6435
Cold,35.6681,-95.9486
Cold,41.828,-94.1598
Cold,42.4372,-93.8724
Cold,47.6458,-101.4394
Fog,47.1377,-122.4765
Fog,47.1377,-122.4765
Fog,47.1377,-122.4765
Fog,47.1377,-122.4765
Fog,47.1377,-122.4765
Fog,47.1377,-122.4765
Cold,40.6065,-95.8635
Cold,40.6065,-95.8635
Cold,42.7748,-96.1924
Cold,43.2338,-75.407
Cold,42.6909,-88.30799999999999
Fog,37.89,-121.2264
Cold,46.8435,-92.1866
Cold,40.7533,-95.4112
Cold,44.7871,-88.564
Cold,43.8854,-104.3179
Cold,39.9371,-91.1966
Cold,43.5237,-89.7734
Cold,40.0966,-92.54700000000001
Cold,41.0189,-94.361
Fog,41.6258,-80.2123
Fog,41.6258,-80.2123
Fog,41.6258,-80.2123
Cold,34.2257,-99.2837
Cold,34.2257,-99.2837
Cold,34.2257,-99.2837
Cold,44.6509,-73.4681
Cold,44.6509,-73.4681
Cold,44.6509,-73.4681
Cold,43.8792,-91.25299999999999
Cold,43.5769,-96.7536
Cold,48.251999999999995,-101.2689
Cold,41.7302,-98.0545
Fog,43.9654,-107.9502
Fog,43.9654,-107.9502
Fog,46.9733,-122.9033
Fog,46.9733,-122.9033
Fog,46.9733,-122.9033
Fog,46.9733,-122.9033
Fog,46.9733,-122.9033
Fog,39.1278,-123.2001
Cold,47.5928,-95.7735
Cold,44.3852,-98.2286
Cold,46.5468,-90.9184
Cold,29.5297,-98.2789
