Type,Severity,LocationLat,LocationLng
Snow,Light,43.4393,-85.9949
Snow,Light,43.4393,-85.9949
Snow,Light,43.4393,-85.9949
Snow,Light,42.2314,-83.3308
Fog,Moderate,40.6322,-79.1055
Fog,Moderate,40.6322,-79.1055
Fog,Moderate,40.6322,-79.1055
Cold,Severe,41.2612,-95.7604
Rain,Light,31.8872,-81.5624
Rain,Light,31.8872,-81.5624
Rain,Light,31.8872,-81.5624
Snow,Light,41.5263,-85.7862
Fog,Moderate,41.5263,-85.7862
Snow,Light,41.5263,-85.7862
Snow,Light,41.5263,-85.7862
Cold,Severe,44.3827,-100.286
Snow,Light,43.3221,-84.6879
Snow,Light,43.3221,-84.6879
Snow,Light,43.3221,-84.6879
Fog,Moderate,43.3221,-84.6879
Cold,Severe,48.928999999999995,-103.29700000000001
Cold,Severe,38.7578,-104.3013
Fog,Moderate,45.4071,-83.8129
Snow,Light,45.4071,-83.8129
Fog,Moderate,45.4071,-83.8129
Snow,Light,33.9829,-83.9584
Cold,Severe,44.7603,-106.9741
Fog,Moderate,44.7603,-106.9741
Fog,Moderate,44.7603,-106.9741
Snow,Light,44.7603,-106.9741
Fog,Severe,44.7603,-106.9741
Fog,Moderate,44.7603,-106.9741
Cold,Severe,41.5844,-95.3397
Cold,Severe,41.5844,-95.3397
Cold,Severe,33.9422,-96.3944
Cold,Severe,33.9422,-96.3944
Cold,Severe,45.5628,-93.2644
Cold,Severe,48.7531,-98.3937
Snow,Light,40.4814,-80.2083
Snow,Light,40.4814,-80.2083
Cold,Severe,41.9905,-93.6185
Snow,Light,31.1059,-98.1975
Snow,Light,31.1059,-98.1975
Cold,Severe,43.7659,-99.3216
Cold,Severe,43.7659,-99.3216
Snow,Light,43.5349,-72.9514
Cold,Severe,43.5349,-72.9514
Fog,Moderate,33.9753,-117.6361
Fog,Moderate,33.9753,-117.6361
Fog,Moderate,33.9753,-117.6361
Fog,Severe,33.9753,-117.6361
Cold,Severe,46.8128,-101.8602
Rain,Light,30.7763,-83.2739
Rain,Light,30.7763,-83.2739
Rain,Light,30.7763,-83.2739
Rain,Light,38.2667,-121.95
Snow,Light,43.1711,-86.2367
Rain,Light,27.7409,-98.0269
Cold,Severe,46.9412,-98.01799999999999
Cold,Severe,39.4743,-88.2723
Snow,Light,37.5913,-83.3137
Fog,Moderate,39.3451,-81.4392
Fog,Moderate,39.3451,-81.4392
Snow,Light,39.3451,-81.4392
Fog,Moderate,39.3451,-81.4392
Cold,Severe,40.1589,-89.3389
Snow,Light,39.43,-101.0511
Snow,Light,39.43,-101.0511
Fog,Moderate,28.5465,-81.3354
Rain,Light,28.5465,-81.3354
Rain,Light,28.5465,-81.3354
Fog,Moderate,33.953,-117.4349
Cold,Severe,43.0665,-83.2716
Cold,Severe,43.0665,-83.2716
Snow,Light,43.0665,-83.2716
Fog,Moderate,33.6267,-116.1594
Fog,Moderate,33.6267,-116.1594
Rain,Light,26.9688,-99.2489
Rain,Light,26.9688,-99.2489
Rain,Light,26.9688,-99.2489
Rain,Light,26.9688,-99.2489
Rain,Light,26.9688,-99.2489
Rain,Light,26.9688,-99.2489
Rain,Light,26.9688,-99.2489
Snow,Light,36.8949,-81.3499
Snow,Light,32.6875,-103.21700000000001
Cold,Severe,42.4708,-93.27
Rain,Moderate,29.7268,-85.0248
Rain,Light,29.7268,-85.0248
Rain,Light,29.7268,-85.0248
Cold,Severe,44.0556,-75.7195
Cold,Severe,44.0556,-75.7195
Snow,Light,44.0556,-75.7195
Snow,Light,44.0556,-75.7195
Snow,Light,44.0556,-75.7195
Fog,Moderate,44.0556,-75.7195
Snow,Light,44.0556,-75.7195
Fog,Moderate,44.0556,-75.7195
Snow,Light,44.0556,-75.7195
Snow,Light,44.0556,-75.7195
Cold,Severe,46.6833,-92.0925
Cold,Severe,44.0459,-103.0544
Cold,Severe,40.4774,-88.9143
Rain,Light,27.0716,-82.4403
Fog,Moderate,27.0716,-82.4403
Fog,Moderate,27.0716,-82.4403
Snow,Light,45.5644,-84.7929
Snow,Light,45.5644,-84.7929
Fog,Moderate,45.5644,-84.7929
Fog,Moderate,45.5644,-84.7929
Snow,Light,45.5644,-84.7929
Fog,Moderate,45.5644,-84.7929
Fog,Moderate,45.5644,-84.7929
Snow,Light,45.5644,-84.7929
Fog,Moderate,45.5644,-84.7929
Fog,Moderate,45.5644,-84.7929
Fog,Moderate,45.5644,-84.7929
Snow,Light,44.4515,-83.3942
Snow,Light,44.4515,-83.3942
Snow,Light,44.4515,-83.3942
Fog,Moderate,44.4515,-83.3942
Fog,Moderate,44.4515,-83.3942
Cold,Severe,45.8886,-93.26899999999999
Cold,Severe,45.1426,-93.2127
Snow,Light,41.0467,-78.4117
Snow,Light,41.0467,-78.4117
Snow,Light,41.0467,-78.4117
Snow,Light,41.0467,-78.4117
Fog,Severe,32.6922,-117.2098
Fog,Severe,32.6922,-117.2098
Fog,Severe,32.6922,-117.2098
Fog,Moderate,32.6922,-117.2098
Cold,Severe,47.4733,-111.3822
Rain,Light,29.1735,-81.0719
Rain,Light,29.1735,-81.0719
Rain,Light,29.1735,-81.0719
Cold,Severe,42.3914,-96.3792
Fog,Severe,47.1039,-122.2872
Fog,Severe,47.1039,-122.2872
Fog,Severe,47.1039,-122.2872
Fog,Severe,47.1039,-122.2872
Fog,Severe,47.1039,-122.2872
Fog,Moderate,34.2156,-118.4917
Fog,Moderate,34.2156,-118.4917
Fog,Moderate,34.2156,-118.4917
Cold,Severe,40.9329,-90.4334
Cold,Severe,40.9329,-90.4334
Snow,Light,41.7358,-83.6553
Snow,Light,41.7358,-83.6553
Snow,Light,41.7358,-83.6553
Snow,Light,41.7358,-83.6553
Snow,Light,41.7358,-83.6553
Snow,Light,41.7358,-83.6553
Fog,Moderate,41.7358,-83.6553
Snow,Light,41.7358,-83.6553
Cold,Severe,33.4503,-88.5914
Cold,Severe,46.9258,-98.6691
Snow,Light,46.4794,-84.3572
Snow,Light,46.4794,-84.3572
Snow,Light,46.4794,-84.3572
Snow,Moderate,46.4794,-84.3572
Snow,Light,46.4794,-84.3572
Snow,Light,46.4794,-84.3572
Fog,Moderate,46.4794,-84.3572
Snow,Light,46.4794,-84.3572
Fog,Moderate,44.5754,-71.1759
Cold,Severe,44.5754,-71.1759
Cold,Severe,44.5754,-71.1759
Fog,Moderate,44.5754,-71.1759
Cold,Severe,43.967,-88.5581
Fog,Severe,43.2337,-123.3577
Fog,Severe,43.2337,-123.3577
Cold,Severe,35.2578,-113.9331
Fog,Moderate,37.3594,-121.9244
Fog,Severe,36.9851,-120.1106
Fog,Severe,36.9851,-120.1106
Fog,Severe,36.9851,-120.1106
Fog,Moderate,36.9851,-120.1106
Snow,Light,41.94,-83.4347
Fog,Moderate,41.94,-83.4347
Cold,Severe,44.5202,-109.0238
Cold,Severe,40.4615,-91.4274
Cold,Severe,43.9392,-90.2532
Cold,Severe,43.9392,-90.2532
Fog,Moderate,44.3394,-105.5419
Fog,Moderate,37.9917,-122.0519
Snow,Light,30.6808,-97.6767
Cold,Severe,43.677,-92.1742
Snow,Light,30.7406,-98.2353
Snow,Light,40.4381,-76.5643
Snow,Light,40.4381,-76.5643
Snow,Light,40.4381,-76.5643
Snow,Light,40.4381,-76.5643
Snow,Light,40.4381,-76.5643
Snow,Light,40.4381,-76.5643
Snow,Light,40.4381,-76.5643
Precipitation,UNK,40.6499,-75.4477
Precipitation,UNK,40.6499,-75.4477
Fog,Moderate,41.1795,-78.8933
Fog,Moderate,41.1795,-78.8933
Fog,Severe,41.1795,-78.8933
Fog,Moderate,41.1795,-78.8933
Snow,Light,41.1795,-78.8933
Fog,Moderate,41.1795,-78.8933
Snow,Light,41.1795,-78.8933
Fog,Moderate,41.1795,-78.8933
Snow,Light,41.1795,-78.8933
Snow,Light,41.1795,-78.8933
Fog,Severe,41.1795,-78.8933
Snow,Light,41.1795,-78.8933
Fog,Severe,41.1795,-78.8933
Fog,Severe,41.1795,-78.8933
Fog,Moderate,41.1795,-78.8933
Fog,Moderate,41.1795,-78.8933
Rain,Light,33.1855,-80.0362
Fog,Moderate,33.1855,-80.0362
Fog,Moderate,33.1855,-80.0362
Fog,Moderate,33.1855,-80.0362
Fog,Moderate,33.1855,-80.0362
Fog,Severe,38.2578,-122.6053
Cold,Severe,41.5175,-88.179
Cold,Severe,47.2521,-91.4098
Cold,Severe,43.6551,-95.5792
Fog,Moderate,43.7774,-82.9827
Rain,Light,28.615,-80.6945
Rain,Light,28.615,-80.6945
Rain,Light,28.615,-80.6945
Rain,Moderate,28.615,-80.6945
Rain,Light,28.615,-80.6945
Rain,Light,28.615,-80.6945
Rain,Light,28.615,-80.6945
Cold,Severe,40.95,-95.9178
Rain,Light,28.2422,-80.608
Rain,Light,28.2422,-80.608
Rain,Light,28.2422,-80.608
Rain,Light,28.2422,-80.608
Rain,Light,28.2422,-80.608
Rain,Light,28.2422,-80.608
Snow,Light,41.3779,-79.8604
Snow,Light,41.3779,-79.8604
Snow,Light,41.3779,-79.8604
Snow,Light,41.3779,-79.8604
Rain,Light,30.4833,-86.5254
Cold,Severe,41.367,-91.1406
Cold,Severe,41.367,-91.1406
Cold,Severe,42.4536,-91.9476
Cold,Severe,42.4536,-91.9476
Rain,Light,32.01,-81.1457
Cold,Severe,42.5748,-99.9983
Snow,Light,42.5748,-99.9983
Snow,Light,42.5748,-99.9983
Snow,Light,42.5748,-99.9983
Snow,Light,42.5748,-99.9983
Snow,Light,42.5748,-99.9983
Snow,Light,36.6106,-83.7374
Snow,Light,36.6106,-83.7374
Snow,Light,36.6106,-83.7374
Rain,Light,25.995,-81.6725
Fog,Moderate,45.6928,-85.5662
Fog,Moderate,45.6928,-85.5662
Fog,Moderate,45.6928,-85.5662
Snow,Light,45.6928,-85.5662
Snow,Light,45.6928,-85.5662
Snow,Light,45.6928,-85.5662
Cold,Severe,44.5691,-72.018
Snow,Light,42.08,-80.1825
Snow,Light,42.08,-80.1825
Snow,Light,42.08,-80.1825
Fog,Moderate,42.08,-80.1825
Snow,Light,42.08,-80.1825
Fog,Moderate,42.08,-80.1825
Snow,Light,40.7081,-84.0214
Snow,Light,40.7081,-84.0214
Snow,Light,44.6252,-86.2008
Snow,Light,44.6252,-86.2008
Snow,Light,44.6252,-86.2008
Fog,Moderate,44.6252,-86.2008
Snow,Light,44.6252,-86.2008
Snow,Light,44.6252,-86.2008
Snow,Light,37.578,-84.77
Snow,Light,37.578,-84.77
Snow,Light,37.578,-84.77
Snow,Light,37.578,-84.77
Cold,Severe,43.1702,-88.725
Cold,Severe,43.1702,-88.725
Fog,Moderate,28.0997,-80.6356
Fog,Moderate,28.0997,-80.6356
Rain,Light,28.0997,-80.6356
Rain,Light,28.0997,-80.6356
Rain,Light,28.0997,-80.6356
Cold,Severe,40.6481,-86.1521
Cold,Severe,40.6481,-86.1521
Cold,Severe,40.6481,-86.1521
Fog,Moderate,37.7178,-122.2329
Snow,Light,40.2964,-78.32
Snow,Light,40.2964,-78.32
Snow,Light,40.2964,-78.32
Snow,Light,40.2964,-78.32
Cold,Severe,34.1469,-97.1225
Rain,Light,30.2129,-81.8707
Rain,Light,30.2129,-81.8707
Rain,Light,30.2129,-81.8707
Rain,Light,30.2129,-81.8707
Rain,Light,30.2129,-81.8707
Cold,Severe,43.7696,-88.4907
Snow,Light,41.0655,-86.1817
Snow,Light,30.4967,-97.9659
Cold,Severe,42.3984,-90.7091
Snow,Light,46.3111,-85.4572
Snow,Light,46.3111,-85.4572
Snow,Light,46.3111,-85.4572
Snow,Light,46.3111,-85.4572
Snow,Light,46.3111,-85.4572
Snow,Light,46.3111,-85.4572
Snow,Light,46.3111,-85.4572
Snow,Light,46.3111,-85.4572
Snow,Light,46.3111,-85.4572
Snow,Light,46.3111,-85.4572
Fog,Moderate,46.3111,-85.4572
Snow,Light,46.3111,-85.4572
Cold,Severe,45.4436,-98.4138
Rain,Light,27.2663,-80.8487
Rain,Light,27.2663,-80.8487
Rain,Light,29.3842,-98.5811
Cold,Severe,29.3842,-98.5811
Cold,Severe,45.5643,-93.60799999999999
Cold,Severe,39.774,-90.2419
Cold,Severe,39.8233,-93.5792
Snow,Light,40.3149,-78.8307
Snow,Light,40.3149,-78.8307
Snow,Light,40.3149,-78.8307
Fog,Severe,40.3149,-78.8307
Fog,Moderate,40.3149,-78.8307
Rain,Light,27.6556,-80.4179
Rain,Light,27.6556,-80.4179
Cold,Severe,45.4935,-90.9985
Cold,Severe,44.5359,-72.6162
Snow,Light,44.5359,-72.6162
Cold,Severe,44.5359,-72.6162
Rain,Light,34.2719,-83.8303
Snow,Light,34.2719,-83.8303
Cold,Severe,45.5464,-100.4078
Snow,Light,44.739,-85.5679
Fog,Moderate,44.739,-85.5679
Snow,Light,44.739,-85.5679
Cold,Severe,41.196000000000005,-96.1123
Cold,Severe,41.196000000000005,-96.1123
Cold,Severe,41.196000000000005,-96.1123
Rain,Light,31.5365,-84.1957
Snow,Light,39.5599,-104.8484
Cold,Severe,44.7792,-95.0303
Rain,Light,29.1637,-82.221
Rain,Moderate,29.1637,-82.221
Rain,Light,29.1637,-82.221
Rain,Light,29.1637,-82.221
Cold,Severe,41.6134,-90.5948
Cold,Severe,41.6134,-90.5948
Cold,Severe,43.3421,-72.5213
Cold,Severe,43.3421,-72.5213
Snow,Light,40.1611,-105.1604
Snow,Light,40.1611,-105.1604
Fog,Moderate,40.1611,-105.1604
Cold,Severe,41.0687,-87.8537
Cold,Severe,41.4365,-99.6385
Cold,Severe,41.4365,-99.6385
Snow,Light,41.4365,-99.6385
Fog,Severe,38.2132,-122.2807
Fog,Severe,38.2132,-122.2807
Fog,Severe,38.2132,-122.2807
Fog,Severe,38.2132,-122.2807
Fog,Moderate,38.2132,-122.2807
Cold,Severe,42.5972,-95.2399
Fog,Moderate,42.8374,-103.0981
Cold,Severe,40.9233,-88.6213
Cold,Severe,40.9233,-88.6213
Snow,Light,40.9233,-88.6213
Snow,Light,40.9233,-88.6213
Snow,Light,40.9233,-88.6213
Cold,Severe,43.1561,-90.6775
Snow,Light,44.9867,-85.2022
Snow,Light,44.9867,-85.2022
Fog,Moderate,40.5146,-122.2977
Snow,Light,34.2803,-87.6004
Cold,Severe,42.6213,-89.0419
Cold,Severe,42.6213,-89.0419
Fog,Severe,38.1418,-122.5546
Fog,Severe,38.1418,-122.5546
Fog,Severe,38.1418,-122.5546
Fog,Severe,38.1418,-122.5546
Cold,Severe,41.6878,-93.5694
Fog,Moderate,26.1554,-81.7746
Fog,Moderate,26.1554,-81.7746
Rain,Light,26.1554,-81.7746
Rain,Light,26.1554,-81.7746
Cold,Severe,40.684,-92.90100000000001
Fog,Moderate,40.0264,-82.4634
Fog,Moderate,40.0264,-82.4634
Fog,Severe,40.0264,-82.4634
Fog,Moderate,40.0264,-82.4634
Fog,Severe,40.0264,-82.4634
Fog,Moderate,40.0264,-82.4634
Fog,Moderate,40.0264,-82.4634
Fog,Moderate,40.0264,-82.4634
Snow,Light,40.0264,-82.4634
Fog,Moderate,40.0264,-82.4634
Snow,Light,34.6525,-86.9453
Cold,Severe,44.1191,-93.2569
Cold,Severe,41.4482,-90.5236
Fog,Moderate,43.5281,-84.0813
Snow,Light,43.5281,-84.0813
Cold,Severe,41.393,-70.6159
Cold,Severe,41.393,-70.6159
Cold,Severe,41.393,-70.6159
Snow,Light,43.6624,-84.2621
Snow,Light,43.6624,-84.2621
Cold,Severe,44.8742,-87.9096
Cold,Severe,42.2186,-92.0258
Snow,Light,39.7619,-101.7963
Fog,Severe,31.8331,-104.8098
Storm,Severe,31.8331,-104.8098
Fog,Severe,31.8331,-104.8098
Fog,Severe,31.8331,-104.8098
