Type,LocationLat,LocationLng
Cold,41.3165,-105.6729
Cold,45.9411,-116.1326
Cold,41.5945,-109.0528
Fog,41.5945,-109.0528
Cold,41.5945,-109.0528
Cold,41.5945,-109.0528
Fog,36.2975,-77.1708
Fog,28.0614,-81.7568
Fog,28.0614,-81.7568
Fog,37.89,-121.2264
Cold,40.9018,-117.8082
Cold,40.9018,-117.8082
Fog,37.6255,-120.9549
Cold,42.7112,-110.9422
Cold,42.7112,-110.9422
Cold,44.1708,-114.9272
Storm,29.5634,-90.6628
Cold,34.2257,-99.2837
Cold,34.2257,-99.2837
Cold,34.2257,-99.2837
Cold,29.9469,-100.1739
Fog,35.0366,-79.4973
Fog,30.0719,-83.5736
Fog,46.9733,-122.9033
Fog,46.9733,-122.9033
Fog,46.9733,-122.9033
Fog,46.9733,-122.9033
Fog,46.9733,-122.9033
Fog,46.9733,-122.9033
Fog,39.1278,-123.2001
Fog,39.1278,-123.2001
Fog,28.0013,-82.1593
Fog,28.0013,-82.1593
Fog,28.0013,-82.1593
Cold,35.3314,-77.6088
Fog,32.8524,-104.4644
Cold,40.4812,-107.2177
Cold,40.4812,-107.2177
Cold,40.4812,-107.2177
Cold,40.4812,-107.2177
Fog,37.1838,-77.5074
Fog,30.9119,-102.9167
Fog,30.9119,-102.9167
Fog,30.9119,-102.9167
Fog,30.9119,-102.9167
Fog,30.9119,-102.9167
Fog,30.9119,-102.9167
Fog,30.9119,-102.9167
Fog,30.9119,-102.9167
Fog,30.9119,-102.9167
Fog,42.6632,-83.4101
Fog,27.7685,-82.6256
Cold,32.2244,-80.6975
Fog,36.0296,-119.0627
Fog,36.0296,-119.0627
Cold,40.0444,-107.8883
Fog,47.2675,-122.5761
Fog,47.2675,-122.5761
Fog,47.2675,-122.5761
Cold,38.9297,-90.43
Fog,28.5148,-80.7992
Cold,29.3009,-81.111
Fog,43.964,-69.7108
Fog,43.964,-69.7108
Fog,43.964,-69.7108
Fog,43.964,-69.7108
Cold,34.6811,-90.3467
Fog,36.3724,-94.10700000000001
Fog,36.3724,-94.10700000000001
Fog,28.7797,-81.2436
Fog,28.7797,-81.2436
Cold,37.4066,-77.5224
Fog,33.9228,-118.3352
Fog,33.9228,-118.3352
Fog,47.6828,-117.3226
Fog,47.6828,-117.3226
Cold,38.1005,-92.5474
Fog,46.7438,-117.1158
Fog,46.7438,-117.1158
Fog,33.3074,-104.5082
Cold,42.5453,-113.7686
Cold,42.5453,-113.7686
Cold,32.6151,-85.434
Cold,39.6443,-106.9144
Fog,40.1838,-112.9217
Fog,40.1838,-112.9217
Fog,28.8214,-81.8096
Fog,28.8214,-81.8096
Fog,28.8214,-81.8096
Fog,28.8214,-81.8096
Fog,28.8214,-81.8096
Cold,42.0744,-70.2182
Fog,35.6558,-105.1385
Fog,27.4014,-82.5586
Fog,27.4014,-82.5586
Fog,27.4014,-82.5586
Fog,27.4014,-82.5586
Fog,27.4014,-82.5586
Fog,27.4014,-82.5586
Fog,27.4014,-82.5586
Fog,27.4014,-82.5586
Fog,25.6423,-80.4347
Fog,25.6423,-80.4347
Fog,25.6423,-80.4347
Fog,45.3047,-85.2747
Fog,33.4668,-105.5278
Fog,33.4668,-105.5278
Fog,33.4668,-105.5278
Cold,45.7881,-111.1608
Fog,45.7881,-111.1608
Cold,45.7881,-111.1608
Fog,45.7881,-111.1608
Fog,45.7881,-111.1608
Fog,26.9185,-81.9939
Fog,26.9185,-81.9939
Cold,43.6128,-110.73700000000001
Fog,36.3024,-119.9397
Fog,36.3024,-119.9397
Fog,36.3024,-119.9397
Fog,35.6575,-109.0614
Cold,36.3989,-76.0164
Fog,44.843,-117.8099
Fog,36.9827,-77.0014
Fog,36.9827,-77.0014
Cold,39.6014,-116.0056
Cold,30.3564,-87.3233
Cold,40.0117,-105.0503
Fog,36.3115,-119.6231
Fog,46.677,-122.9827
Fog,46.677,-122.9827
Storm,35.3567,-89.8703
Fog,30.4953,-81.6937
Fog,30.4953,-81.6937
Fog,29.9592,-81.34100000000001
Cold,36.7451,-97.3496
Fog,43.2348,-93.6241
Fog,30.3959,-81.4229
Fog,30.3959,-81.4229
Fog,30.3959,-81.4229
Fog,30.3959,-81.4229
Fog,30.3959,-81.4229
Fog,28.4739,-82.4537
Fog,28.4739,-82.4537
Cold,40.824,-115.7863
Fog,28.2281,-82.1559
Fog,28.2281,-82.1559
Fog,28.2281,-82.1559
Cold,40.493,-107.5239
Cold,40.493,-107.5239
Fog,40.493,-107.5239
Fog,40.493,-107.5239
Cold,32.7403,-95.4945
Fog,28.0198,-82.3415
Fog,46.6044,-111.9892
Fog,46.6044,-111.9892
Fog,46.6044,-111.9892
Fog,40.443000000000005,-109.5127
Fog,47.0338,-120.5313
Fog,47.0338,-120.5313
Fog,47.0338,-120.5313
Fog,47.0338,-120.5313
Fog,27.9152,-82.4518
Cold,28.0837,-97.0466
Cold,44.6884,-111.1176
Fog,32.6934,-100.9505
Cold,39.5,-117.0833
Cold,44.35,-112.1833
Fog,43.8922,-69.9386
Fog,43.8922,-69.9386
Fog,43.8922,-69.9386
Fog,43.8922,-69.9386
Cold,42.1666,-112.2966
Fog,42.1666,-112.2966
Cold,42.1666,-112.2966
Fog,42.1666,-112.2966
Fog,42.1666,-112.2966
Cold,44.65,-111.1
Cold,42.32,-113.33
Cold,42.32,-113.33
Cold,40.449,-106.7492
Cold,41.6667,-115.7833
Fog,34.1,-105.6833
Fog,34.1,-105.6833
Fog,34.1,-105.6833
Fog,34.1,-105.6833
Fog,34.1,-105.6833
Fog,47.6,-115.3667
Fog,47.6,-115.3667
Fog,47.6,-115.3667
Cold,41.1167,-114.9667
Fog,40.4774,-111.43299999999999
Cold,40.4774,-111.43299999999999
Cold,41.7297,-107.7252
Fog,29.25,-89.96600000000001
Fog,29.25,-89.96600000000001
Fog,29.25,-89.96600000000001
Fog,29.25,-89.96600000000001
Cold,41.052,-105.4694
Cold,43.1,-110.32
Cold,41.1566,-105.4033
Fog,35.799,-107.181
Cold,42.6416,-111.5799
Cold,42.6416,-111.5799
Fog,46.4772,-122.8065
Fog,46.4772,-122.8065
Cold,41.5323,-109.4604
Fog,41.5323,-109.4604
Cold,41.5323,-109.4604
Cold,41.5323,-109.4604
Cold,29.4674,-81.2063
Fog,28.9444,-81.9701
Fog,28.9444,-81.9701
Fog,28.9444,-81.9701
Fog,28.9444,-81.9701
Fog,28.9444,-81.9701
Cold,37.974000000000004,-92.691
Cold,40.6,-116.8667
Cold,40.6,-116.8667
